,costituency,name,party,twitter_id
0,Redcar,Ian Swales,Liberal Democrat,@iswales
0,Somerton and Frome,About David Heath MP,Liberal Democrat,@DavidHeathMP
0,Torbay,Adrian Sanders,Liberal Democrat,@adriansanders
0,Orkney and Shetland,Alistair Carmichael,Liberal Democrat,@acarmichaelmp
0,St Ives,Andrew George,Liberal Democrat,@AndrewGeorgeLD
0,Mid Dorset and North Poole,Annette Brooke,Liberal Democrat,@Annette4MDNP
0,"Ross, Skye and Lochaber",Charles Kennedy,Liberal Democrat,@charles_kennedy
0,Eastleigh,Christopher Huhne,Liberal Democrat,@ChrisHuhne
0,"Inverness, Nairn, Badenoch and Strathspey",Danny Alexander,Liberal Democrat,@dannyalexander
0,Bradford East,David Ward,Liberal Democrat,@DWard
0,Bath,Don Foster,Liberal Democrat,@TheDon_Foster
0,Chippenham,Duncan Hames,Liberal Democrat,@duncanhames
0,Kingston and Surbiton,Edward Davey,Liberal Democrat,@eddaveykands
0,Burnley,Gordon Birtwistle,Liberal Democrat,@GBirtwistle
0,Leeds North West,Greg Mulholland MP,Liberal Democrat,@GregMulholland1
0,Cardiff Central,Jenny Willott,Liberal Democrat,@JennyWillott
0,East Dunbartonshire,Jo Swinson,Liberal Democrat,@joswinson
0,"Birmingham, Yardley",John Hemming,Liberal Democrat,@johnhemming4mp
0,"Manchester, Withington",John Leech,Liberal Democrat,@johnleechmcr
0,Southport,John Pugh MP,Liberal Democrat,@johnpughmp
0,Cambridge,Julian Huppert,Liberal Democrat,@julianhuppert
0,Solihull,Lorely Burt,Liberal Democrat,@LorelyBurt
0,Hornsey and Wood Green,Lynne Featherstone,Liberal Democrat,@lfeatherstone
0,Gordon,Malcolm Bruce,Liberal Democrat,@malcolmbruce
0,Cheadle,Mark Hunter MP,Liberal Democrat,@MarkHunter
0,Ceredigion,Mark Williams,Liberal Democrat,@mark4ceredigion
0,Cheltenham,Martin Horwood,Liberal Democrat,@MartinChelt
0,"Berwickshire, Roxburgh and Selkirk",Michael Moore,Liberal Democrat,@MichaelMooreBRS
0,Edinburgh West,Mike Crockart MP,Liberal Democrat,@MikeCrockart
0,Fife North East,Ming Campbell,Liberal Democrat,@MingCampbellMP
0,"Sheffield, Hallam",Nick Clegg,Liberal Democrat,@nick_clegg
0,North Devon,Nick Harvey,Liberal Democrat,@NickHarveyND
0,North Norfolk,Norman Lamb,Liberal Democrat,@normanlamb
0,Sutton and Cheam,Paul Burstow MP,Liberal Democrat,@PaulBurstow
0,Brecon and Radnorshire,RogerWilliamsMP,Liberal Democrat,@RogerWilliamsLD
0,North Southwark and Bermondsey,Simon Hughes,Liberal Democrat,@SimonHughes
0,Norwich South,Simon Wright MP,Liberal Democrat,@SimonWrightMP
0,St Austell and Newquay,Stephen Gilbert MP,Liberal Democrat,@stephen_gilbert
0,Bristol West,Stephen Williams MP,Liberal Democrat,@swilliamsmp
0,Northavon,Steve Webb,Liberal Democrat,@stevewebb1
0,Wells,Tessa Munt (MP),Liberal Democrat,@tessamunt
0,Westmorland and Lonsdale,Tim Farron,Liberal Democrat,@timfarron
0,Carshalton and Wallington,Tom Brake MP,Liberal Democrat,@thomasbrake
0,Twickenham,Vince Cable,Liberal Democrat,@vincecable
